period,date,red1,red2,red3,red4,red5,red6,blue
2025111,2025-09-25,09,14,18,28,31,33,12
2025110,2025-09-23,01,05,11,14,16,19,08
2025109,2025-09-21,05,06,09,17,18,31,03
2025108,2025-09-18,01,09,14,17,22,33,07
2025107,2025-09-16,02,03,10,15,25,33,13
2025106,2025-09-14,04,05,17,22,26,30,04
2025105,2025-09-11,04,07,18,24,26,28,08
2025104,2025-09-09,02,05,15,16,24,32,16
2025103,2025-09-07,13,16,21,25,28,31,16
2025102,2025-09-04,04,09,16,17,18,31,07
2025101,2025-09-02,05,08,09,10,16,21,05
2025100,2025-08-31,12,16,17,25,30,31,16
2025099,2025-08-28,09,11,15,17,22,26,14
2025098,2025-08-26,05,08,13,17,18,29,02
2025097,2025-08-24,03,05,16,23,26,31,14
2025096,2025-08-21,07,09,11,12,16,29,15
2025095,2025-08-19,15,16,22,23,26,32,04
2025094,2025-08-17,11,13,17,19,23,29,16
2025093,2025-08-14,9,11,12,24,25,26,10
2025092,2025-08-12,2,11,14,17,23,24,12
2025091,2025-08-10,3,4,17,19,25,27,14
2025090,2025-08-07,6,11,12,21,27,28,15
2025089,2025-08-05,4,6,8,18,31,33,5
2025088,2025-08-03,1,3,13,18,21,25,6
2025087,2025-07-31,2,6,14,15,24,26,8
2025086,2025-07-29,2,6,8,10,17,24,6
2025085,2025-07-27,11,14,15,18,21,24,13
2025084,2025-07-24,6,8,10,14,24,33,15
2025083,2025-07-22,10,15,16,17,27,29,12
2025082,2025-07-20,4,6,9,14,32,33,11
2025081,2025-07-17,3,6,18,20,23,28,5
2025080,2025-07-15,3,7,8,10,16,19,5
2025079,2025-07-13,8,11,14,15,30,32,5
2025078,2025-07-10,6,15,17,30,32,33,14
2025077,2025-07-08,4,7,8,15,20,21,15
2025076,2025-07-06,2,6,9,12,14,30,8
2025075,2025-07-03,10,12,14,19,20,21,15
2025074,2025-07-01,3,4,12,20,32,33,13
2025073,2025-06-29,2,7,10,27,30,33,11
2025072,2025-06-26,2,14,17,25,27,29,5
2025071,2025-06-24,1,12,18,23,25,28,7
2025070,2025-06-22,2,3,15,21,22,33,6
2025069,2025-06-19,2,4,19,23,27,30,5
2025068,2025-06-17,5,7,8,19,20,31,7
2025067,2025-06-15,1,5,10,17,20,22,5
2025066,2025-06-12,6,22,24,27,28,30,4
2025065,2025-06-10,6,10,13,14,15,20,11
2025064,2025-06-08,2,10,13,22,29,33,16
2025063,2025-06-05,2,19,21,22,28,30,1
2025062,2025-06-03,6,8,9,13,25,31,14
2025061,2025-06-01,6,7,9,10,11,32,9
2025060,2025-05-29,6,14,18,25,28,30,1
2025059,2025-05-27,4,10,11,12,13,24,1
2025058,2025-05-25,2,6,7,9,10,20,6
2025057,2025-05-22,4,9,15,16,25,30,14
2025056,2025-05-20,1,2,10,14,28,31,3
2025055,2025-05-18,2,5,22,27,29,33,12
2025054,2025-05-15,5,7,10,21,24,27,16
2025053,2025-05-13,6,9,10,13,30,33,7
2025052,2025-05-11,6,7,10,17,20,26,9
2025051,2025-05-08,1,2,3,4,17,22,1
2025050,2025-05-06,9,12,15,18,22,33,16
2025049,2025-05-04,3,6,19,27,29,33,11
2025048,2025-05-01,16,21,22,23,27,31,10
2025047,2025-04-29,1,14,21,22,23,31,12
2025046,2025-04-27,2,3,10,16,29,33,1
2025045,2025-04-24,2,14,19,24,29,33,13
2025044,2025-04-22,2,3,7,8,14,28,11
2025043,2025-04-20,3,12,16,19,20,32,13
2025042,2025-04-17,7,13,19,23,27,33,12
2025041,2025-04-15,6,10,17,19,25,31,6
2025040,2025-04-13,2,6,8,9,10,24,11
2025039,2025-04-10,8,10,12,15,17,23,11
2025038,2025-04-08,6,19,20,23,26,33,9
2025037,2025-04-06,3,6,11,20,21,31,2
2025036,2025-04-03,5,11,13,16,19,32,7
2025035,2025-04-01,1,8,16,18,25,31,1
2025034,2025-03-30,5,8,13,14,24,26,12
2025033,2025-03-27,3,5,18,25,26,33,8
2025032,2025-03-25,3,8,10,14,16,21,3
2025031,2025-03-23,1,5,6,8,23,28,1
2025030,2025-03-20,4,6,7,30,31,33,6
2025029,2025-03-18,5,15,16,25,30,33,16
2025028,2025-03-16,4,9,14,15,18,25,15
2025027,2025-03-13,5,7,8,15,16,23,6
2025026,2025-03-11,9,10,12,14,19,32,7
2025025,2025-03-09,12,15,21,23,25,30,2
2025024,2025-03-06,10,11,22,27,30,32,15
2025023,2025-03-04,9,12,13,24,25,33,7
2025022,2025-03-02,11,17,18,20,28,30,10
2025021,2025-02-27,7,8,16,18,25,32,14
2025020,2025-02-25,4,11,13,16,26,30,15
2025019,2025-02-23,5,13,17,18,22,23,11
2025018,2025-02-20,3,9,18,21,28,29,11
2025017,2025-02-18,4,12,15,18,28,29,5
2025016,2025-02-16,2,3,12,16,20,29,14
2025015,2025-02-13,4,11,15,24,25,33,15
2025014,2025-02-11,6,7,9,13,21,27,5
2025013,2025-02-09,4,14,16,23,24,30,14
2025012,2025-02-06,7,11,13,18,27,31,11
2025011,2025-01-26,6,13,17,22,24,29,11
2025010,2025-01-23,4,6,7,16,17,21,8
2025009,2025-01-21,2,4,11,12,23,25,6
2025008,2025-01-19,9,14,16,17,25,33,11
2025007,2025-01-16,7,8,14,18,21,27,11
2025006,2025-01-14,1,7,8,17,20,22,6
2025005,2025-01-12,10,16,19,27,28,30,9
2025004,2025-01-09,3,7,17,27,29,32,4
2025003,2025-01-07,10,19,20,26,28,29,15
2025002,2025-01-05,9,12,13,15,22,26,11
2025001,2025-01-02,2,3,17,18,22,33,16
2024151,2024-12-31,5,10,16,19,29,32,4
2024150,2024-12-29,13,14,20,22,26,32,2
2024149,2024-12-26,3,9,16,17,18,22,16
2024148,2024-12-24,2,6,15,16,21,23,11
2024147,2024-12-22,5,11,13,16,21,30,10
2024146,2024-12-19,2,4,11,22,27,32,10
2024145,2024-12-17,1,3,16,22,23,30,3
2024144,2024-12-15,2,9,11,17,20,30,11
2024143,2024-12-12,2,5,11,22,30,33,10
2024142,2024-12-10,4,6,13,21,22,25,6
2024141,2024-12-08,1,2,7,15,24,29,12
2024140,2024-12-05,4,7,8,17,22,26,15
2024139,2024-12-03,15,16,20,22,23,29,14
2024138,2024-12-01,2,7,11,21,27,28,2
2024137,2024-11-28,4,9,10,19,26,27,12
2024136,2024-11-26,3,11,15,21,25,26,3
2024135,2024-11-24,5,11,17,18,30,31,13
2024134,2024-11-21,2,4,13,16,18,20,16
2024133,2024-11-19,1,11,15,27,30,33,1
2024132,2024-11-17,1,4,25,27,28,33,3
2024131,2024-11-14,4,5,11,15,20,32,13
2024130,2024-11-12,1,8,12,17,19,24,16
2024129,2024-11-10,9,10,13,19,24,32,1
2024128,2024-11-07,1,8,13,18,20,26,16
2024127,2024-11-05,2,5,13,20,27,32,10
2024126,2024-11-03,14,18,23,24,26,33,10
2024125,2024-10-31,1,4,13,18,26,30,3
2024124,2024-10-29,2,14,15,17,25,30,11
2024123,2024-10-27,2,15,22,26,30,33,4
2024122,2024-10-24,5,7,9,16,17,29,15
2024121,2024-10-22,1,7,10,13,27,33,3
2024120,2024-10-20,1,5,7,11,18,19,7
2024119,2024-10-17,2,9,26,27,31,32,14
2024118,2024-10-15,2,3,4,6,11,15,14
2024117,2024-10-13,3,12,14,16,29,32,12
2024116,2024-10-10,1,15,20,22,31,32,3
2024115,2024-10-08,3,10,11,19,27,28,7
2024114,2024-10-06,7,11,18,24,27,32,4
2024113,2024-09-29,4,5,23,24,26,31,11
2024112,2024-09-26,8,11,16,25,29,32,3
2024111,2024-09-24,1,4,11,12,22,30,16
2024110,2024-09-22,4,13,17,23,25,33,14
2024109,2024-09-19,3,4,24,28,29,33,9
2024108,2024-09-17,1,8,9,23,24,30,8
2024107,2024-09-15,1,6,8,13,17,19,9
2024106,2024-09-12,3,8,11,22,31,33,4
2024105,2024-09-10,2,5,17,19,29,33,4
2024104,2024-09-08,5,16,23,24,26,29,4
2024103,2024-09-05,12,21,23,27,32,33,15
2024102,2024-09-03,9,15,18,21,22,25,1
2024101,2024-09-01,8,12,15,17,19,30,8
2024100,2024-08-29,13,14,19,20,27,30,5
2024099,2024-08-27,4,12,17,24,26,27,16
2024098,2024-08-25,3,8,10,20,30,31,2
2024097,2024-08-22,4,10,12,13,18,30,3
2024096,2024-08-20,2,4,14,18,23,27,13
2024095,2024-08-18,4,6,9,14,16,21,3
2024094,2024-08-15,6,13,17,22,25,27,9
2024093,2024-08-13,1,5,7,11,12,15,12
2024092,2024-08-11,3,8,11,12,18,29,5
2024091,2024-08-08,13,15,16,19,20,24,10
2024090,2024-08-06,7,11,17,24,31,32,12
2024089,2024-08-04,3,6,9,15,18,31,1
2024088,2024-08-01,3,8,10,17,30,32,10
2024087,2024-07-30,3,9,18,19,20,26,11
2024086,2024-07-28,17,19,20,23,25,31,2
2024085,2024-07-25,1,5,15,21,23,27,15
2024084,2024-07-23,1,8,10,13,19,29,13
2024083,2024-07-21,3,9,14,29,32,33,15
2024082,2024-07-18,1,2,13,16,17,29,16
2024081,2024-07-16,1,6,12,17,23,25,4
2024080,2024-07-14,6,11,12,27,29,30,13
2024079,2024-07-11,2,3,6,7,16,26,4
2024078,2024-07-09,5,9,14,21,22,26,12
2024077,2024-07-07,1,4,6,14,17,22,8
2024076,2024-07-04,3,22,24,27,29,32,15
2024075,2024-07-02,3,5,8,18,22,28,1
2024074,2024-06-30,7,8,10,22,24,32,7
2024073,2024-06-27,3,9,12,18,28,30,1
2024072,2024-06-25,1,14,20,21,23,27,6
2024071,2024-06-23,2,8,19,28,30,31,14
2024070,2024-06-20,4,13,18,20,22,28,5
2024069,2024-06-18,6,13,20,21,24,32,6
2024068,2024-06-16,1,2,7,19,20,21,1
2024067,2024-06-13,1,11,13,17,25,29,3
2024066,2024-06-11,8,9,12,22,26,32,13
2024065,2024-06-09,3,5,9,10,19,22,14
2024064,2024-06-06,6,8,17,18,28,30,5
2024063,2024-06-04,7,14,16,23,28,32,4
2024062,2024-06-02,1,7,10,16,18,27,16
2024061,2024-05-30,1,9,18,22,25,28,2
2024060,2024-05-28,1,2,6,10,22,28,15
2024059,2024-05-26,1,3,14,25,31,33,7
2024058,2024-05-23,8,12,13,17,27,29,13
2024057,2024-05-21,3,8,17,18,23,31,8
2024056,2024-05-19,5,18,20,24,25,26,6
2024055,2024-05-16,2,4,6,7,16,29,3
2024054,2024-05-14,8,13,20,25,31,32,3
2024053,2024-05-12,7,14,21,22,28,33,7
2024052,2024-05-09,7,10,11,15,17,21,3
2024051,2024-05-07,5,9,13,20,23,28,6
2024050,2024-05-05,1,3,7,10,22,33,2
2024049,2024-05-02,12,15,17,23,26,32,11
2024048,2024-04-30,2,9,15,19,26,28,2
2024047,2024-04-28,7,8,21,26,29,30,15
2024046,2024-04-25,2,6,10,11,17,29,15
2024045,2024-04-23,2,8,19,23,24,26,3
2024044,2024-04-21,2,6,17,25,32,33,6
2024043,2024-04-18,4,6,7,14,15,24,8
2024042,2024-04-16,2,4,5,14,26,32,14
2024041,2024-04-14,2,9,12,22,25,33,16
2024040,2024-04-11,11,14,18,19,23,26,2
2024039,2024-04-09,2,6,12,29,30,31,10
2024038,2024-04-07,8,10,18,23,27,31,2
2024037,2024-04-04,1,4,5,6,12,14,13
2024036,2024-04-02,2,8,9,12,21,31,2
2024035,2024-03-31,5,7,14,17,22,32,6
2024034,2024-03-28,2,9,12,19,21,31,4
2024033,2024-03-26,6,10,11,18,20,32,5
2024032,2024-03-24,1,3,4,11,12,21,16
2024031,2024-03-21,9,10,13,25,30,32,2
2024030,2024-03-19,1,8,22,25,29,33,10
2024029,2024-03-17,12,18,23,25,28,33,4
2024028,2024-03-14,3,7,8,11,18,19,5
2024027,2024-03-12,2,6,13,27,28,32,13
2024026,2024-03-10,4,7,18,19,20,25,6
2024025,2024-03-07,8,15,21,22,25,33,13
2024024,2024-03-05,3,7,21,24,26,30,10
2024023,2024-03-03,1,10,22,25,28,32,10
2024022,2024-02-29,2,9,11,14,18,26,6
2024021,2024-02-27,4,6,16,17,23,24,11
2024020,2024-02-25,3,8,12,14,17,33,8
2024019,2024-02-22,5,11,12,16,17,20,8
2024018,2024-02-20,6,15,17,24,28,29,16
2024017,2024-02-18,4,17,19,20,25,32,4
2024016,2024-02-06,7,12,20,24,32,33,4
2024015,2024-02-04,3,8,17,18,20,30,15
2024014,2024-02-01,1,2,10,22,24,25,13
2024013,2024-01-30,1,7,10,14,21,25,7
2024012,2024-01-28,1,3,7,18,22,28,15
2024011,2024-01-25,8,12,16,20,27,31,6
2024010,2024-01-23,11,16,20,21,23,24,4
2024009,2024-01-21,1,4,7,10,17,23,14
2024008,2024-01-18,8,20,21,23,27,30,13
2024007,2024-01-16,4,5,6,7,20,22,15
2024006,2024-01-14,7,18,20,21,26,32,5
2024005,2024-01-11,5,6,20,23,25,32,3
2024004,2024-01-09,9,13,17,18,21,27,4
2024003,2024-01-07,1,5,8,13,32,33,3
2024002,2024-01-04,4,9,10,17,19,20,9
2024001,2024-01-02,3,7,16,26,27,32,16
2023151,2023-12-31,1,15,16,20,25,27,5
2023150,2023-12-28,10,17,25,26,30,33,5
2023149,2023-12-26,2,10,19,24,26,33,15
2023148,2023-12-24,3,5,7,9,19,20,8
2023147,2023-12-21,5,6,14,16,19,32,12
2023146,2023-12-19,2,3,6,11,20,32,9
2023145,2023-12-17,7,10,21,22,23,24,11
2023144,2023-12-14,12,16,17,22,25,27,8
2023143,2023-12-12,5,7,9,16,23,30,15
2023142,2023-12-10,2,8,20,21,27,33,14
2023141,2023-12-07,1,8,11,12,21,23,3
2023140,2023-12-05,3,4,11,14,30,31,5
2023139,2023-12-03,12,14,19,21,27,31,11
2023138,2023-11-30,3,22,28,30,31,33,4
2023137,2023-11-28,3,12,17,19,23,27,11
2023136,2023-11-26,3,5,10,21,22,26,10
2023135,2023-11-23,5,6,11,13,28,30,7
2023134,2023-11-21,5,8,9,17,22,33,4
2023133,2023-11-19,4,5,10,14,22,25,3
2023132,2023-11-16,3,9,11,15,25,27,1
2023131,2023-11-14,6,7,14,20,26,32,1
2023130,2023-11-12,4,10,17,22,23,32,16
2023129,2023-11-09,8,9,12,17,32,33,4
2023128,2023-11-07,7,16,20,21,27,33,1
2023127,2023-11-05,3,8,19,22,26,32,14
2023126,2023-11-02,10,24,26,28,29,31,16
2023125,2023-10-31,11,14,15,27,30,33,4
2023124,2023-10-29,2,3,17,18,25,30,11
2023123,2023-10-26,10,13,15,22,29,32,15
2023122,2023-10-24,7,8,14,18,20,30,5
2023121,2023-10-22,2,12,16,25,30,31,12
2023120,2023-10-19,3,8,13,24,27,29,8
2023119,2023-10-17,1,2,3,19,21,28,15
2023118,2023-10-15,1,2,11,19,25,29,4
2023117,2023-10-12,2,11,14,17,18,28,8
2023116,2023-10-10,2,8,9,13,24,27,12
2023115,2023-10-08,2,7,16,21,26,27,16
2023114,2023-10-05,7,9,15,16,17,26,9
2023113,2023-09-28,1,2,13,18,25,27,3
2023112,2023-09-26,9,12,13,22,24,31,4
2023111,2023-09-24,5,6,12,17,20,33,9
2023110,2023-09-21,2,6,20,25,29,33,16
2023109,2023-09-19,6,8,10,13,16,28,13
2023108,2023-09-17,1,3,6,8,18,24,9
2023107,2023-09-14,3,7,18,25,29,33,14
2023106,2023-09-12,7,9,10,20,22,24,7
2023105,2023-09-10,1,3,5,26,30,32,16
2023104,2023-09-07,10,19,23,25,30,31,12
2023103,2023-09-05,5,6,13,24,25,29,15
2023102,2023-09-03,1,9,10,13,21,28,10
2023101,2023-08-31,1,5,9,15,18,26,4
2023100,2023-08-29,5,6,12,15,23,25,4
2023099,2023-08-27,9,11,14,19,27,33,5
2023098,2023-08-24,2,10,11,14,21,27,11
2023097,2023-08-22,1,9,14,19,29,30,15
2023096,2023-08-20,8,11,18,26,31,32,15
2023095,2023-08-17,3,8,16,17,22,26,11
2023094,2023-08-15,6,10,12,14,30,31,12
2023093,2023-08-13,10,21,24,25,27,32,7
2023092,2023-08-10,3,12,24,25,32,33,13
2023091,2023-08-08,16,20,22,26,30,32,16
2023090,2023-08-06,1,2,9,26,30,31,7
2023089,2023-08-03,8,13,15,27,28,31,11
2023088,2023-08-01,1,14,18,26,31,33,5
2023087,2023-07-30,2,9,15,17,28,33,1
2023086,2023-07-27,8,9,10,22,26,32,12
2023085,2023-07-25,11,18,23,24,31,33,13
2023084,2023-07-23,9,13,14,17,19,27,3
2023083,2023-07-20,7,10,12,16,17,30,12
2023082,2023-07-18,4,18,19,24,27,30,16
2023081,2023-07-16,1,11,15,16,22,31,15
2023080,2023-07-13,1,2,4,9,25,31,8
2023079,2023-07-11,5,6,9,12,21,22,7
2023078,2023-07-09,6,8,14,19,30,31,8
2023077,2023-07-06,7,9,14,22,26,27,1
2023076,2023-07-04,3,4,15,18,19,22,9
2023075,2023-07-02,13,15,24,28,30,31,1
2023074,2023-06-29,2,8,9,18,19,21,3
2023073,2023-06-27,1,3,15,16,25,32,10
2023072,2023-06-25,2,6,10,24,25,33,9
2023071,2023-06-22,5,12,15,19,24,26,6
2023070,2023-06-20,3,5,25,31,32,33,4
2023069,2023-06-18,12,14,17,20,21,26,2
2023068,2023-06-15,11,12,15,18,29,33,2
2023067,2023-06-13,1,3,12,19,28,32,14
2023066,2023-06-11,2,7,8,10,26,31,6
2023065,2023-06-08,2,14,17,20,26,33,14
2023064,2023-06-06,1,7,11,12,16,18,4
2023063,2023-06-04,4,8,17,20,22,27,13
2023062,2023-06-01,11,19,23,24,26,33,15
2023061,2023-05-30,1,4,6,11,12,22,15
2023060,2023-05-28,9,11,17,19,30,31,11
2023059,2023-05-25,2,6,13,22,27,32,6
2023058,2023-05-23,10,17,22,26,30,33,11
2023057,2023-05-21,2,5,10,17,24,32,3
2023056,2023-05-18,8,14,15,18,23,33,8
2023055,2023-05-16,3,4,20,23,27,32,13
2023054,2023-05-14,5,6,9,10,15,26,12
2023053,2023-05-11,1,7,14,20,27,30,15
2023052,2023-05-09,3,4,5,8,12,17,6
2023051,2023-05-07,22,26,29,30,32,33,14
2023050,2023-05-04,2,7,9,14,22,23,5
2023049,2023-05-02,5,7,14,23,25,27,2
2023048,2023-04-30,2,3,10,24,28,30,8
2023047,2023-04-27,5,7,14,23,31,33,7
2023046,2023-04-25,6,8,17,25,26,28,3
2023045,2023-04-23,3,6,12,21,27,28,4
2023044,2023-04-20,2,8,15,22,24,26,16
2023043,2023-04-18,5,8,12,20,24,28,10
2023042,2023-04-16,10,17,20,23,27,30,10
2023041,2023-04-13,1,6,12,13,15,24,6
2023040,2023-04-11,9,16,17,24,29,31,8
2023039,2023-04-09,2,3,9,13,19,28,9
2023038,2023-04-06,2,9,14,17,31,33,8
2023037,2023-04-04,8,23,25,26,29,31,12
2023036,2023-04-02,13,14,18,19,24,30,9
2023035,2023-03-30,1,4,9,10,20,33,6
2023034,2023-03-28,2,3,9,11,12,17,15
2023033,2023-03-26,8,9,13,23,24,26,5
2023032,2023-03-23,6,19,20,26,28,33,1
2023031,2023-03-21,7,14,27,29,31,33,5
2023030,2023-03-19,2,3,7,16,30,31,6
2023029,2023-03-16,3,7,12,24,28,33,8
2023028,2023-03-14,5,7,10,17,20,22,14
2023027,2023-03-12,8,10,22,27,32,33,8
2023026,2023-03-09,1,18,26,30,31,33,3
2023025,2023-03-07,4,16,20,21,31,32,14
2023024,2023-03-05,3,6,9,17,27,28,3
2023023,2023-03-02,5,8,10,15,24,25,9
2023022,2023-02-28,10,11,18,19,23,31,3
2023021,2023-02-26,2,5,6,19,21,27,4
2023020,2023-02-23,1,12,17,18,26,27,5
2023019,2023-02-21,6,12,26,28,29,32,15
2023018,2023-02-19,10,12,17,19,25,31,13
2023017,2023-02-16,5,11,18,20,26,28,12
2023016,2023-02-14,14,16,19,23,28,30,3
2023015,2023-02-12,2,3,14,21,29,32,8
2023014,2023-02-09,6,7,18,23,27,30,5
2023013,2023-02-07,6,10,14,22,23,33,13
2023012,2023-02-05,3,4,7,22,26,30,6
2023011,2023-02-02,6,7,16,17,21,22,4
2023010,2023-01-31,4,5,13,18,27,29,12
2023009,2023-01-29,3,4,19,23,30,32,6
2023008,2023-01-17,5,13,18,20,26,28,6
2023007,2023-01-15,5,6,9,22,25,31,3
2023006,2023-01-12,2,10,12,14,24,26,5
2023005,2023-01-10,2,6,8,13,14,19,16
2023004,2023-01-08,1,7,15,16,20,25,16
2023003,2023-01-05,5,8,18,25,30,32,6
2023002,2023-01-03,2,6,10,16,18,22,13
2023001,2023-01-01,9,16,18,22,28,32,2
2022150,2022-12-29,1,7,11,12,22,28,5
2022149,2022-12-27,2,22,26,29,32,33,14
2022148,2022-12-25,2,15,16,17,21,31,14
2022147,2022-12-22,2,3,7,13,20,30,10
2022146,2022-12-20,6,7,13,18,26,31,6
2022145,2022-12-18,3,21,25,30,31,33,11
2022144,2022-12-15,7,20,22,23,31,32,5
2022143,2022-12-13,7,8,13,29,30,33,3
2022142,2022-12-11,1,3,13,16,21,27,3
2022141,2022-12-08,5,12,13,17,20,27,14
2022140,2022-12-06,8,9,18,19,20,27,15
2022139,2022-12-04,6,7,9,16,17,19,14
2022138,2022-12-01,2,14,19,21,25,28,11
2022137,2022-11-29,8,21,23,27,28,33,1
2022136,2022-11-27,8,10,14,15,18,22,8
2022135,2022-11-24,9,11,13,24,28,32,6
2022134,2022-11-22,1,5,14,17,24,31,14
2022133,2022-11-20,5,8,16,17,21,25,12
2022132,2022-11-17,1,3,18,26,32,33,4
2022131,2022-11-15,3,5,10,13,19,29,6
2022130,2022-11-13,2,8,15,17,26,28,12
2022129,2022-11-10,10,12,14,22,24,27,7
2022128,2022-11-08,3,12,18,24,27,29,1
2022127,2022-11-06,3,4,9,10,29,33,13
2022126,2022-11-03,1,13,15,17,26,33,13
2022125,2022-11-01,2,3,7,12,20,31,16
2022124,2022-10-30,5,10,13,18,24,26,1
2022123,2022-10-27,10,13,16,20,21,25,5
2022122,2022-10-25,6,8,17,19,24,28,5
2022121,2022-10-23,12,17,22,27,30,31,2
2022120,2022-10-20,2,15,19,26,27,29,2
2022119,2022-10-18,2,5,15,18,26,27,4
2022118,2022-10-16,2,6,7,11,14,33,8
2022117,2022-10-13,4,13,17,18,28,29,6
2022116,2022-10-11,8,14,26,27,30,33,1
2022115,2022-10-09,6,7,18,20,27,29,9
2022114,2022-10-06,1,5,15,19,26,29,13
2022113,2022-09-29,13,14,20,24,27,29,2
2022112,2022-09-27,3,5,8,17,25,31,1
2022111,2022-09-25,2,10,11,13,28,31,1
2022110,2022-09-22,9,13,15,18,20,28,15
2022109,2022-09-20,4,11,13,19,22,33,11
2022108,2022-09-18,1,7,13,17,18,31,15
2022107,2022-09-15,3,9,11,15,19,28,16
2022106,2022-09-13,17,20,22,23,24,31,1
2022105,2022-09-11,6,12,13,15,21,23,15
2022104,2022-09-08,1,8,19,25,26,31,1
2022103,2022-09-06,6,9,12,14,20,28,10
2022102,2022-09-04,9,10,12,18,29,32,14
2022101,2022-09-01,4,16,18,19,27,28,4
2022100,2022-08-30,2,6,7,15,20,21,15
2022099,2022-08-28,1,11,23,24,26,32,15
2022098,2022-08-25,2,3,4,6,21,33,5
2022097,2022-08-23,4,5,10,13,30,31,14
2022096,2022-08-21,3,16,17,19,25,33,7
2022095,2022-08-18,4,13,14,18,20,28,8
2022094,2022-08-16,6,11,13,16,19,31,2
2022093,2022-08-14,21,22,24,28,29,32,14
2022092,2022-08-11,7,10,16,20,21,27,11
2022091,2022-08-09,8,18,20,22,24,28,10
2022090,2022-08-07,1,4,25,27,29,30,7
